name,city,price,rooms,area,price_per_m2,link,forma_wlasnosci,stan_wykonczenia,pietro,balkon,czynsz,parking,ogrzewanie
"Oferta Deweloperska, Apartamenty inwestycyjne",Warszawa,481 700 ,2 pokoje,35.02,13 755 ,https://www.otodom.pl/oferta/oferta-deweloperska-apartamenty-inwestycyjne-ID4kN3U,pełna własność,do wykończenia,3/4,balkon,,garaż/miejsce parkingowe,miejskie
3 pokoje z pocztówkowym widokiem nad Wisłą.PragaPN,Warszawa,900 000 ,3 pokoje,50,18 000 ,https://www.otodom.pl/oferta/3-pokoje-z-pocztowkowym-widokiem-nad-wisla-pragapn-ID33P24,,do zamieszkania,6/11,balkon,,,miejskie
Dwupokojowe mieszkanie (garaż w cenie)bezpośrednio,Warszawa,520 000 ,2 pokoje,40.44,12 859 ,https://www.otodom.pl/oferta/dwupokojowe-mieszkanie-garaz-w-ceniebezposrednio-ID4kzCU,pełna własność,do zamieszkania,4/4,balkon,470,garaż/miejsce parkingowe,miejskie
Wyjątkowo wysoki Apartament! |3pok |Garaż |Komórka,Warszawa,1 135 000 ,3 pokoje,80,14 188 ,https://www.otodom.pl/oferta/wyjatkowo-wysoki-apartament-3pok-garaz-komorka-ID4kHYP,pełna własność,do zamieszkania,5/5,balkon,1120,garaż/miejsce parkingowe,miejskie
2-pokojowe mieszkanie na Ochocie !!!,Warszawa,620 000 ,2 pokoje,47,13 191 ,https://www.otodom.pl/oferta/2-pokojowe-mieszkanie-na-ochocie-ID4kN3w,spółdzielcze własnościowe,,2/8,balkon,800,,miejskie
4-pokojowe mieszkanie 95m2 + loggia Bezpośrednio,Warszawa,Zapytajocenę,4 pokoje,95.21,,https://www.otodom.pl/oferta/4-pokojowe-mieszkanie-95m2-loggia-bezposrednio-ID4hFib,pełna własność,do wykończenia,8/8,,,garaż/miejsce parkingowe,
5-pokojowe mieszkanie 116m2 + balkon,Warszawa,Zapytajocenę,5 pokoi,116.72,,https://www.otodom.pl/oferta/5-pokojowe-mieszkanie-116m2-balkon-ID4fEny,pełna własność,do wykończenia,1/7,balkon,,garaż/miejsce parkingowe,
"3 Pokoje, stan deweloperski, Ursus.",Warszawa,669 000 ,3 pokoje,59.46,11 251 ,https://www.otodom.pl/oferta/3-pokoje-stan-deweloperski-ursus-ID4kN3o,pełna własność,do wykończenia,1/6,balkon,,garaż/miejsce parkingowe,miejskie
"Bezpośrednio mieszkanie 2-pokojowe, 52m2, Mokotów",Warszawa,1 020 000 ,2 pokoje,52.14,19 563 ,https://www.otodom.pl/oferta/bezposrednio-mieszkanie-2-pokojowe-52m2-mokotow-ID4kKSI,pełna własność,do zamieszkania,5/12,balkon,1250,garaż/miejsce parkingowe,
Wys. standard; 56m2 ; 2 pok; metro - bezpośrednio,Warszawa,850 000 ,2 pokoje,56,15 179 ,https://www.otodom.pl/oferta/wys-standard-56m2-2-pok-metro-bezposrednio-ID4kHYj,pełna własność,do zamieszkania,3/3,balkon,800,garaż/miejsce parkingowe,miejskie
3-pokojowe mieszkanie 59m2 + balkon Bez Prowizji,Warszawa,Zapytajocenę,3 pokoje,59.79,,https://www.otodom.pl/oferta/3-pokojowe-mieszkanie-59m2-balkon-bez-prowizji-ID4fauA,pełna własność,do wykończenia,4/4,balkon,,,
4-pokojowe mieszkanie 86m2 + taras Bez Prowizji,Warszawa,Zapytajocenę,4 pokoje,86.63,,https://www.otodom.pl/oferta/4-pokojowe-mieszkanie-86m2-taras-bez-prowizji-ID4e9D4,pełna własność,do wykończenia,6/7,taras,,garaż/miejsce parkingowe,
3-pokojowe mieszkanie 70m2 + 2 ogródki,Warszawa,Zapytajocenę,3 pokoje,70.91,,https://www.otodom.pl/oferta/3-pokojowe-mieszkanie-70m2-2-ogrodki-ID4cg4M,pełna własność,do wykończenia,parter/6,"taras, ogródek",,garaż/miejsce parkingowe,
3-pokojowe mieszkanie 56m2 + ogródek Bezpośrednio,Warszawa,629 000 ,3 pokoje,56.47,11 139 ,https://www.otodom.pl/oferta/3-pokojowe-mieszkanie-56m2-ogrodek-bezposrednio-ID4iLDg,pełna własność,do wykończenia,parter/1,ogródek,,,
