name,city,price,rooms,area,price_per_m2,link,forma_wlasnosci,stan_wykonczenia,pietro,balkon,czynsz,parking,ogrzewanie
2-pokojowe mieszkanie 50m2 + loggia,Warszawa,Zapytajocenę,2 pokoje,50.32,,https://www.otodom.pl/oferta/2-pokojowe-mieszkanie-50m2-loggia-ID4fC3e,pełna własność,do wykończenia,1/5,,,garaż/miejsce parkingowe,
3-pokojowe mieszkanie 67m2 + ogródek Bez Prowizji,Warszawa,Zapytajocenę,3 pokoje,67.11,,https://www.otodom.pl/oferta/3-pokojowe-mieszkanie-67m2-ogrodek-bez-prowizji-ID4fHFu,pełna własność,do wykończenia,parter/5,ogródek,,garaż/miejsce parkingowe,
3-pokojowe mieszkanie 58m2 + loggia,Warszawa,1 513 000 ,3 pokoje,58.86,25 705 ,https://www.otodom.pl/oferta/3-pokojowe-mieszkanie-58m2-loggia-ID4fBZV,pełna własność,do wykończenia,6/16,,,garaż/miejsce parkingowe,
"2-pokoje w stanie deweloperskim, bez pcc",Warszawa,647 000 ,2 pokoje,49,13 204 ,https://www.otodom.pl/oferta/2-pokoje-w-stanie-deweloperskim-bez-pcc-ID4kKQm,,,5/5,balkon,600,garaż/miejsce parkingowe,
2-pokojowe mieszkanie 42m2 + loggia Bezpośrednio,Warszawa,941 000 ,2 pokoje,42.15,22 325 ,https://www.otodom.pl/oferta/2-pokojowe-mieszkanie-42m2-loggia-bezposrednio-ID4fBZW,pełna własność,do wykończenia,6/16,,,garaż/miejsce parkingowe,
1-pokojowe mieszkanie 37m2 Bez Prowizji,Warszawa,758 000 ,1 pokój,37.73,20 090 ,https://www.otodom.pl/oferta/1-pokojowe-mieszkanie-37m2-bez-prowizji-ID4fBZk,pełna własność,do wykończenia,1/16,,,garaż/miejsce parkingowe,
4-pokojowe mieszkanie 83m2 + balkon,Warszawa,Zapytajocenę,4 pokoje,83.54,,https://www.otodom.pl/oferta/4-pokojowe-mieszkanie-83m2-balkon-ID4fVgR,pełna własność,do wykończenia,1/6,balkon,,garaż/miejsce parkingowe,
Przytulne mieszkanie,Warszawa,830 000 ,3 pokoje,60.6,13 696 ,https://www.otodom.pl/oferta/przytulne-mieszkanie-ID4kzyG,pełna własność,do wykończenia,1/11,balkon,900,,miejskie
"Prestiżowa Saska Kępa! 38 m 2 , Idealny rozkład",Warszawa,584 000 ,2 pokoje,38.3,15 248 ,https://www.otodom.pl/oferta/prestizowa-saska-kepa-38-m-2-idealny-rozklad-ID4ktmq,pełna własność,do zamieszkania,5/10,balkon,600,,miejskie
Kawalerka z potencjałem. Widok na panoramę miasta,Warszawa,380 000 ,1 pokój,26.4,14 394 ,https://www.otodom.pl/oferta/kawalerka-z-potencjalem-widok-na-panorame-miasta-ID4kMZA,pełna własność,do remontu,7/8,balkon,504,,miejskie
3 pokoje przy Browarach Warszawskich,Warszawa,775 000 ,3 pokoje,49,15 816 ,https://www.otodom.pl/oferta/3-pokoje-przy-browarach-warszawskich-ID4kMZC,spółdzielcze wł. z KW,do zamieszkania,1/15,balkon,1000,garaż/miejsce parkingowe,miejskie
2 pokoje przy Pałacu Kultury i Metro,Warszawa,617 000 ,2 pokoje,39,15 821 ,https://www.otodom.pl/oferta/2-pokoje-przy-palacu-kultury-i-metro-ID4kMZz,spółdzielcze wł. z KW,do zamieszkania,9/15,balkon,620,garaż/miejsce parkingowe,miejskie
Kawalerka przy Nowym Świecie i Bulwarach Wiślanych,Warszawa,824 000 ,1 pokój,36.7,22 452 ,https://www.otodom.pl/oferta/kawalerka-przy-nowym-swiecie-i-bulwarach-wislanych-ID4kMZB,pełna własność,do zamieszkania,3/5,balkon,500,garaż/miejsce parkingowe,miejskie
Mieszkanie 3-pokojowe z komórką i garażem BEZP.,Warszawa,945 000 ,3 pokoje,66,14 318 ,https://www.otodom.pl/oferta/mieszkanie-3-pokojowe-z-komorka-i-garazem-bezp-ID4kzys,pełna własność,do zamieszkania,1/4,balkon,765,garaż/miejsce parkingowe,miejskie
2 pokoje balkon os.zamknięte przy Factory Ursus,Warszawa,575 000 ,2 pokoje,43,13 372 ,https://www.otodom.pl/oferta/2-pokoje-balkon-os-zamkniete-przy-factory-ursus-ID4kMZx,pełna własność,do zamieszkania,1/7,balkon,600,garaż/miejsce parkingowe,miejskie
Bezpośrednio. W pełni umeblowane i wyposażone,Warszawa,680 000 ,2 pokoje,54.5,12 477 ,https://www.otodom.pl/oferta/bezposrednio-w-pelni-umeblowane-i-wyposazone-ID4kLpB,pełna własność,do zamieszkania,parter/2,,679,garaż/miejsce parkingowe,miejskie
PO REMONCIE*OD WŁAŚCICIELA*Ochota*Grójecka,Warszawa,437 000 ,1 pokój,24,18 208 ,https://www.otodom.pl/oferta/po-remoncieod-wlascicielaochotagrojecka-ID4kso9,pełna własność,do zamieszkania,7/10,balkon,300,,miejskie
2 pok | Nowe budownictwo | Świetna inwestycja,Warszawa,640 000 ,2 pokoje,32.07,19 956 ,https://www.otodom.pl/oferta/2-pok-nowe-budownictwo-swietna-inwestycja-ID4kMZw,pełna własność,do zamieszkania,10/14,balkon,420,,miejskie
Apartament*do wprowadzenia*duży taras*po remoncie,Warszawa,730 000 ,2 pokoje,53.41,13 668 ,https://www.otodom.pl/oferta/apartamentdo-wprowadzeniaduzy-taraspo-remoncie-ID4kMZt,pełna własność,,4/9,balkon,550,,miejskie
"Wysokie,Jasne,Poddaszowe",Warszawa,345 000 ,1 pokój,27.6,12 500 ,https://www.otodom.pl/oferta/wysokie-jasne-poddaszowe-ID4kMZr,,,> 10/11,,400,,
Mieszkanie 81m2 - 4 pokojowe w Miasteczku Wilanów,Warszawa,1 450 000 ,4 pokoje,81.16,17 866 ,https://www.otodom.pl/oferta/mieszkanie-81m2-4-pokojowe-w-miasteczku-wilanow-ID4kHWn,pełna własność,do zamieszkania,parter/3,"ogródek, taras",940,garaż/miejsce parkingowe,miejskie
3-pokojowe mieszkanie 47m2 + taras Bez Prowizji,Warszawa,804 400 ,3 pokoje,47.94,16 779 ,https://www.otodom.pl/oferta/3-pokojowe-mieszkanie-47m2-taras-bez-prowizji-ID4hv3r,pełna własność,do wykończenia,6/7,taras,,garaż/miejsce parkingowe,
"⭐️ Ursynów, 51,37m2, Promocja, odlicz 23%Vat ⭐️",Warszawa,806 000 ,3 pokoje,51.37,15 690 ,https://www.otodom.pl/oferta/ursynow-51-37m2-promocja-odlicz-23-vat-ID4jvXm,pełna własność,do wykończenia,3/4,balkon,,garaż/miejsce parkingowe,miejskie
"⭐️ Ursynów, 36m2, Promocja, odlicz 23%Vat ⭐️",Warszawa,609 000 ,2 pokoje,36,16 917 ,https://www.otodom.pl/oferta/ursynow-36m2-promocja-odlicz-23-vat-ID4jvUM,pełna własność,do wykończenia,3/4,balkon,,,miejskie
"⭐️⭐️⭐️Apartament Inwestycyjny, Gotowy na Już⭐️⭐️⭐️",Warszawa,399 000 ,1 pokój,32.1,12 430 ,https://www.otodom.pl/oferta/apartament-inwestycyjny-gotowy-na-juz-ID4jBPR,pełna własność,do zamieszkania,1/4,,,,gazowe
Nowa cena | Stara Saska Kępa | Kamienica | 108 m2,Warszawa,2 590 000 ,4 pokoje,108.03,23 975 ,https://www.otodom.pl/oferta/nowa-cena-stara-saska-kepa-kamienica-108-m2-ID4kqGi,pełna własność,do zamieszkania,parter/3,,1100,,
Sale! Piękny widok | Saska Kępa | Super standard!,Warszawa,529 000 ,1 pokój,28,18 893 ,https://www.otodom.pl/oferta/sale-piekny-widok-saska-kepa-super-standard-ID4kqG8,spółdzielcze własnościowe,do zamieszkania,10/10,,,,miejskie
"Śródmieście, ul. Lewartowskiego, ciche",Warszawa,650 000 ,3 pokoje,43.23,15 036 ,https://www.otodom.pl/oferta/srodmiescie-ul-lewartowskiego-ciche-ID4kCNN,pełna własność,do remontu,1/6,balkon,559,,miejskie
4-pokojowe mieszkanie 76m2 + loggia Bez Prowizji,Warszawa,1 341 000 ,4 pokoje,76.93,17 431 ,https://www.otodom.pl/oferta/4-pokojowe-mieszkanie-76m2-loggia-bez-prowizji-ID4hv4a,pełna własność,do wykończenia,1/7,,,garaż/miejsce parkingowe,
"OSTATNIE PIĘTRO, Apartamentowiec, TUŻ OBOK METRA",Warszawa,1 699 000 ,3 pokoje,72,23 597 ,https://www.otodom.pl/oferta/ostatnie-pietro-apartamentowiec-tuz-obok-metra-ID4kACS,pełna własność,do zamieszkania,7/7,balkon,750,garaż/miejsce parkingowe,miejskie
"3 pokoje,ul.Sulejkowska,71mkw,2 miejsca postojowe",Warszawa,1 000 000 ,3 pokoje,70.75,14 134 ,https://www.otodom.pl/oferta/3-pokoje-ul-sulejkowska-71mkw-2-miejsca-postojowe-ID4cxvp,pełna własność,do zamieszkania,1/3,balkon,780,garaż/miejsce parkingowe,
"2 pokoje,48,4mkw,ul.Platynowa,garaż w cenie",Warszawa,750 000 ,2 pokoje,48.4,15 496 ,https://www.otodom.pl/oferta/2-pokoje-48-4mkw-ul-platynowa-garaz-w-cenie-ID4jOGV,pełna własność,do zamieszkania,6/11,balkon,,garaż/miejsce parkingowe,miejskie
"Mieszkanie dla rodziny, Metro Trocka.",Warszawa,590 000 ,3 pokoje,62.7,9410 ,https://www.otodom.pl/oferta/mieszkanie-dla-rodziny-metro-trocka-ID4klrk,spółdzielcze własnościowe,do zamieszkania,> 10/12,,820,,miejskie
Kamienica*Stara Ochota*Gotowe pod wynajem,Warszawa,699 999 ,2 pokoje,44.5,15 730 ,https://www.otodom.pl/oferta/kamienicastara-ochotagotowe-pod-wynajem-ID4kjOA,pełna własność,do zamieszkania,2/4,,,,miejskie
Klimatyczne 2 pokoje z tarasem na zielonym Bemowie,Warszawa,742 000 ,2 pokoje,56.76,13 073 ,https://www.otodom.pl/oferta/klimatyczne-2-pokoje-z-tarasem-na-zielonym-bemowie-ID4kMYt,pełna własność,do zamieszkania,parter/3,"ogródek, taras",650,garaż/miejsce parkingowe,gazowe
"Mieszkanie, 36m2, Warszawa, Ochota, Korotyńskiego",Warszawa,430 000 ,2 pokoje,36,11 944 ,https://www.otodom.pl/oferta/mieszkanie-36m2-warszawa-ochota-korotynskiego-ID4kACt,pełna własność,,4/4,,400,,miejskie
"Ładna kawalerka na Muranowie 23,2m2",Warszawa,408 000 ,1 pokój,23.2,17 586 ,https://www.otodom.pl/oferta/ladna-kawalerka-na-muranowie-23-2m2-ID4kMYk,pełna własność,do zamieszkania,1/4,,350,,miejskie
Bemowo Metro 4 pokoje po Generalnym Remoncie,Warszawa,899 000 ,4 pokoje,74.8,12 019 ,https://www.otodom.pl/oferta/bemowo-metro-4-pokoje-po-generalnym-remoncie-ID4kCAu,,,3/10,balkon,900,,miejskie
3 pokoje piaski,Warszawa,472 000 ,3 pokoje,47.8,9874 ,https://www.otodom.pl/oferta/3-pokoje-piaski-ID4kCGp,pełna własność,do remontu,3/4,,450,,
Piękny Apartament na Placu Zamkowym,Warszawa,1 990 000 ,3 pokoje,85,23 412 ,https://www.otodom.pl/oferta/piekny-apartament-na-placu-zamkowym-ID4f2k2,pełna własność,do zamieszkania,4/4,,,,miejskie
"Kamienica, Stara Ochota, wysokie, ciche z balkonem",Warszawa,1 031 250 ,2 pokoje,62.5,16 500 ,https://www.otodom.pl/oferta/kamienica-stara-ochota-wysokie-ciche-z-balkonem-ID4kMXW,pełna własność,do remontu,2/3,balkon,800,,
"Apartament 96,7 m, 2 x garaż, Warszawa Floriańska",Warszawa,1 710 000 ,3 pokoje,96.7,17 684 ,https://www.otodom.pl/oferta/apartament-96-7-m-2-x-garaz-warszawa-florianska-ID4kHTR,pełna własność,do zamieszkania,4/6,balkon,1300,garaż/miejsce parkingowe,miejskie
GOTOWE mieszkanie z 2 balkonami,Warszawa,565 000 ,2 pokoje,49.88,11 327 ,https://www.otodom.pl/oferta/gotowe-mieszkanie-z-2-balkonami-ID4k2vB,pełna własność,do wykończenia,5/6,balkon,,,miejskie
Pasaż Abrahama | nowe mieszkanie M4,Warszawa,768 248 ,2 pokoje,46,16 701 ,https://www.otodom.pl/oferta/pasaz-abrahama-nowe-mieszkanie-m4-ID4kc1J,pełna własność,do wykończenia,1/7,balkon,,,miejskie
Gotowe do odbioru! Inwestycja Bliżej Gwiazd,Warszawa,1 205 375 ,5 pokoi,96.43,12 500 ,https://www.otodom.pl/oferta/gotowe-do-odbioru-inwestycja-blizej-gwiazd-ID4kMXB,pełna własność,,1/4,balkon,,,gazowe
#Przepiękny4pokApartementBezpośrednioOdDewelopera,Warszawa,1 382 471 ,4 pokoje,98.71,14 005 ,https://www.otodom.pl/oferta/przepiekny4pokapartementbezposredniooddewelopera-ID4kMXu,pełna własność,do wykończenia,,balkon,,garaż/miejsce parkingowe,miejskie
3 pokoje + balkon 7m2 + 2 x łazienka,Warszawa,799 000 ,3 pokoje,62,12 887 ,https://www.otodom.pl/oferta/3-pokoje-balkon-7m2-2-x-lazienka-ID4iFXK,pełna własność,do wykończenia,2/5,"balkon, taras",600,garaż/miejsce parkingowe,miejskie
2-pokojowe mieszkanie 45m2 + balkon Bezpośrednio,Warszawa,616 000 ,2 pokoje,45.53,13 530 ,https://www.otodom.pl/oferta/2-pokojowe-mieszkanie-45m2-balkon-bezposrednio-ID4iUG6,pełna własność,do wykończenia,1/5,balkon,,garaż/miejsce parkingowe,
"Mieszkanie gotowe do wprowadzenia, wysoki standard",Warszawa,599 000 ,2 pokoje,50.04,11 970 ,https://www.otodom.pl/oferta/mieszkanie-gotowe-do-wprowadzenia-wysoki-standard-ID4kEiH,pełna własność,do zamieszkania,2/5,balkon,,garaż/miejsce parkingowe,gazowe
4-pok. Nowe Ogród. Garaż Fotowoltaika,Warszawa,820 000 ,4 pokoje,63,13 016 ,https://www.otodom.pl/oferta/4-pok-nowe-ogrod-garaz-fotowoltaika-ID4kINI,,,parter/1,ogródek,,garaż/miejsce parkingowe,
"Superoferta, Zielony Plac Hallera, Mieszkanie 39m2",Warszawa,585 000 ,1 pokój,39.28,14 893 ,https://www.otodom.pl/oferta/superoferta-zielony-plac-hallera-mieszkanie-39m2-ID4kkV6,pełna własność,do zamieszkania,3/5,,590,,miejskie
Jasna kawalerka w okazyjnej cenie!,Warszawa,320 000 ,1 pokój,24.5,13 061 ,https://www.otodom.pl/oferta/jasna-kawalerka-w-okazyjnej-cenie-ID4kl1r,spółdzielcze wł. z KW,do remontu,4/4,,450,,miejskie
"Jasne i ciche, czteropokojowe, 59 m2 w Ursusie",Warszawa,560 000 ,4 pokoje,59,9492 ,https://www.otodom.pl/oferta/jasne-i-ciche-czteropokojowe-59-m2-w-ursusie-ID4k94W,,do zamieszkania,4/4,balkon,800,,miejskie
2 pokoje | Metro | Balkon,Warszawa,625 000 ,2 pokoje,46.1,13 557 ,https://www.otodom.pl/oferta/2-pokoje-metro-balkon-ID4kd0A,spółdzielcze własnościowe,do wykończenia,2/10,balkon,620,,miejskie
Tania kawalerka z balkonem i osobną kuchnią,Warszawa,420 000 ,1 pokój,28,15 000 ,https://www.otodom.pl/oferta/tania-kawalerka-z-balkonem-i-osobna-kuchnia-ID4kd0B,spółdzielcze wł. z KW,do wykończenia,2/10,balkon,460,,miejskie
Inwestycyjne do wejścia | 38m | 2 pokoje | ciche,Warszawa,560 000 ,2 pokoje,38,14 737 ,https://www.otodom.pl/oferta/inwestycyjne-do-wejscia-38m-2-pokoje-ciche-ID4kfoX,pełna własność,do zamieszkania,5/12,,680,,miejskie
Jasne mieszkanie przy Lesie Kabackim | Metro,Warszawa,455 000 ,2 pokoje,29,15 690 ,https://www.otodom.pl/oferta/jasne-mieszkanie-przy-lesie-kabackim-metro-ID4kjP4,pełna własność,do zamieszkania,9/9,,700,garaż/miejsce parkingowe,miejskie
2-pokojowe mieszkanie 48m2 + balkon,Warszawa,Zapytajocenę,2 pokoje,48.84,,https://www.otodom.pl/oferta/2-pokojowe-mieszkanie-48m2-balkon-ID4fEos,pełna własność,do wykończenia,2/7,balkon,,garaż/miejsce parkingowe,
"Mieszkanie 56,2 m2 w super lokalizacji Mokotów",Warszawa,930 000 ,2 pokoje,56.2,16 548 ,https://www.otodom.pl/oferta/mieszkanie-56-2-m2-w-super-lokalizacji-mokotow-ID4kKOs,pełna własność,do zamieszkania,3/4,"balkon, taras",900,garaż/miejsce parkingowe,miejskie
"Lux Lokalizacja*3pok.*81,5m2* 2 miejsca postojowe",Warszawa,950 000 ,3 pokoje,81.5,11 656 ,https://www.otodom.pl/oferta/lux-lokalizacja3pok-81-5m2-2-miejsca-postojowe-ID4kL2O,spółdzielcze własnościowe,,1/3,,730,,
Trzy Pokoje. Nowy dom. Niska Cena. Do wprowadzenia,Warszawa,747 300 ,3 pokoje,53,14 100 ,https://www.otodom.pl/oferta/trzy-pokoje-nowy-dom-niska-cena-do-wprowadzenia-ID4kGYh,pełna własność,,2/3,,500,,miejskie
3pok*62m2*balkon*dwustronne*0% prowizji,Warszawa,694 000 ,3 pokoje,62.07,11 181 ,https://www.otodom.pl/oferta/3pok62m2balkondwustronne0-prowizji-ID4kMXd,pełna własność,do wykończenia,1/4,balkon,,garaż/miejsce parkingowe,miejskie
3 pok ODDZIELNA kuchnia 1 piętro RONDO WIATRACZNA,Warszawa,709 000 ,3 pokoje,63,11 254 ,https://www.otodom.pl/oferta/3-pok-oddzielna-kuchnia-1-pietro-rondo-wiatraczna-ID4kATy,pełna własność,do zamieszkania,1/10,balkon,638,garaż/miejsce parkingowe,miejskie
"Bezpośrednio, po generalnym remoncie, ul. Łojewska",Warszawa,493 000 ,2 pokoje,38,12 974 ,https://www.otodom.pl/oferta/bezposrednio-po-generalnym-remoncie-ul-lojewska-ID4kIZt,pełna własność,do zamieszkania,8/10,balkon,460,,miejskie
Bezpośrednio sprzedam mieszkanie na Mokotowie,Warszawa,710 000 ,2 pokoje,55,12 909 ,https://www.otodom.pl/oferta/bezposrednio-sprzedam-mieszkanie-na-mokotowie-ID4kFn5,pełna własność,do remontu,1/4,balkon,,garaż/miejsce parkingowe,miejskie
4pok*dwustronne*balkon 14m2*0% prowizji,Warszawa,977 000 ,4 pokoje,77.5,12 606 ,https://www.otodom.pl/oferta/4pokdwustronnebalkon-14m20-prowizji-ID4kMXb,pełna własność,do wykończenia,1/6,balkon,,garaż/miejsce parkingowe,
Piękne dwustronne mieszkanie w dobrej lokalizacji,Warszawa,560 000 ,2 pokoje,50,11 200 ,https://www.otodom.pl/oferta/piekne-dwustronne-mieszkanie-w-dobrej-lokalizacji-ID4kMX9,,,1/4,,,,
Kabaty 2 piękne pokoje,Warszawa,761 940 ,2 pokoje,45.9,16 600 ,https://www.otodom.pl/oferta/kabaty-2-piekne-pokoje-ID4jmFx,,,2/9,balkon,620,garaż/miejsce parkingowe,
Przestronne mieszkanie niedaleko Ronda Daszyńskieg,Warszawa,660 000 ,3 pokoje,65.6,10 061 ,https://www.otodom.pl/oferta/przestronne-mieszkanie-niedaleko-ronda-daszynskieg-ID4gIwJ,spółdzielcze własnościowe,do remontu,3/4,,800,garaż/miejsce parkingowe,miejskie
2 pokoje przy Złotych Tarasach i Pałacu Kultury,Warszawa,669 500 ,2 pokoje,39,17 167 ,https://www.otodom.pl/oferta/2-pokoje-przy-zlotych-tarasach-i-palacu-kultury-ID4kMVT,spółdzielcze wł. z KW,do zamieszkania,10/15,balkon,700,garaż/miejsce parkingowe,miejskie
2 pokoje przy Łazienkach Królewskich i Polach Mok.,Warszawa,1 020 000 ,2 pokoje,50,20 400 ,https://www.otodom.pl/oferta/2-pokoje-przy-lazienkach-krolewskich-i-polach-mok-ID4kMVS,pełna własność,do zamieszkania,3/5,,900,garaż/miejsce parkingowe,miejskie
2 pokoje taras os.zamknięte,Warszawa,1 050 000 ,2 pokoje,53,19 811 ,https://www.otodom.pl/oferta/2-pokoje-taras-os-zamkniete-ID4kMVP,pełna własność,do zamieszkania,5/8,"balkon, taras",600,garaż/miejsce parkingowe,miejskie
"Mieszkanie 50 m2, po remoncie - przy metrze Kabaty",Warszawa,990 000 ,2 pokoje,50,19 800 ,https://www.otodom.pl/oferta/mieszkanie-50-m2-po-remoncie-przy-metrze-kabaty-ID4kHSI,,do zamieszkania,2/5,balkon,550,garaż/miejsce parkingowe,miejskie
"⭐️ Ursynów, 32,00m2, Promocja, odlicz 23%Vat ⭐️",Warszawa,535 000 ,2 pokoje,32,16 719 ,https://www.otodom.pl/oferta/ursynow-32-00m2-promocja-odlicz-23-vat-ID4jvT7,pełna własność,do wykończenia,3/4,balkon,,garaż/miejsce parkingowe,miejskie
GOTOWE 3 pokoje *59 m2** bez PCC z komórką lok.,Warszawa,525 200 ,3 pokoje,59.66,8803 ,https://www.otodom.pl/oferta/gotowe-3-pokoje-59-m2-bez-pcc-z-komorka-lok-ID4hMOP,pełna własność,do wykończenia,1/2,balkon,,garaż/miejsce parkingowe,gazowe
2 pokoje w Rembertowie !,Warszawa,514 000 ,2 pokoje,45.4,11 322 ,https://www.otodom.pl/oferta/2-pokoje-w-rembertowie-ID4iP70,pełna własność,do wykończenia,1/3,"balkon, ogródek",,garaż/miejsce parkingowe,gazowe
"Świetnie wykończone, przestronne, dla rodziny 2+2",Warszawa,899 000 ,4 pokoje,82,10 963 ,https://www.otodom.pl/oferta/swietnie-wykonczone-przestronne-dla-rodziny-2-2-ID4jghO,pełna własność,do zamieszkania,1/7,balkon,680,,miejskie
2-pokojowe słoneczne mieszkanie 45 m z ogródkiem,Warszawa,535 000 ,2 pokoje,45.4,11 784 ,https://www.otodom.pl/oferta/2-pokojowe-sloneczne-mieszkanie-45-m-z-ogrodkiem-ID4kzwc,pełna własność,do zamieszkania,parter/4,ogródek,,garaż/miejsce parkingowe,miejskie
3-pokojowe mieszkanie 59m2 + 2 ogródki,Warszawa,861 204 ,3 pokoje,59.23,14 540 ,https://www.otodom.pl/oferta/3-pokojowe-mieszkanie-59m2-2-ogrodki-ID4jwVE,pełna własność,do wykończenia,parter/8,"taras, ogródek",,garaż/miejsce parkingowe,
4-pokojowe mieszkanie 82m2 + balkon Bez Prowizji,Warszawa,1 239 300 ,4 pokoje,82.62,15 000 ,https://www.otodom.pl/oferta/4-pokojowe-mieszkanie-82m2-balkon-bez-prowizji-ID4fBYl,pełna własność,do wykończenia,2/4,balkon,,garaż/miejsce parkingowe,
Ciche/ Od zaraz/Zielona okolica,Warszawa,420 000 ,2 pokoje,37.5,11 200 ,https://www.otodom.pl/oferta/ciche-od-zaraz-zielona-okolica-ID4kMVo,spółdzielcze własnościowe,do zamieszkania,4/10,balkon,580,,
Luksusowy apartament z dużym tarasem,Warszawa,998 000 ,2 pokoje,46.5,21 462 ,https://www.otodom.pl/oferta/luksusowy-apartament-z-duzym-tarasem-ID4kMVm,pełna własność,do zamieszkania,5/5,"balkon, ogródek, taras",450,garaż/miejsce parkingowe,gazowe
Rodzinne mieszkanie na kameralnym osiedlu,Warszawa,779 000 ,3 pokoje,65.4,11 911 ,https://www.otodom.pl/oferta/rodzinne-mieszkanie-na-kameralnym-osiedlu-ID4kMVk,spółdzielcze wł. z KW,do zamieszkania,2/3,balkon,850,garaż/miejsce parkingowe,miejskie
5-pokojowe mieszkanie 97m2 + taras Bez Prowizji,Warszawa,Zapytajocenę,5 pokoi,97.48,,https://www.otodom.pl/oferta/5-pokojowe-mieszkanie-97m2-taras-bez-prowizji-ID4fT8m,pełna własność,do wykończenia,1/7,taras,,garaż/miejsce parkingowe,
"Dwa pokoje, widna kuchnia, ogródek, metro!",Warszawa,675 000 ,2 pokoje,48.73,13 852 ,https://www.otodom.pl/oferta/dwa-pokoje-widna-kuchnia-ogrodek-metro-ID4kuZe,pełna własność,,parter/5,"ogródek, taras",540,,miejskie
"Wyjątkowe, do wejścia, dwa balkony",Warszawa,780 000 ,3 pokoje,60,13 000 ,https://www.otodom.pl/oferta/wyjatkowe-do-wejscia-dwa-balkony-ID4kMV4,spółdzielcze wł. z KW,do zamieszkania,3/11,balkon,,,miejskie
Mieszkanie 3 pokoje ul. Płocka Wola (Bezpośrednio),Warszawa,560 000 ,3 pokoje,46,12 174 ,https://www.otodom.pl/oferta/mieszkanie-3-pokoje-ul-plocka-wola-bezposrednio-ID4k9UW,pełna własność,do remontu,2/3,balkon,,,miejskie
"Dwa pokoje, duży taras, Forty Bema!",Warszawa,625 000 ,2 pokoje,50.1,12 475 ,https://www.otodom.pl/oferta/dwa-pokoje-duzy-taras-forty-bema-ID4kuZi,pełna własność,do zamieszkania,1/5,balkon,620,garaż/miejsce parkingowe,miejskie
Dwa pokoje z ogródkiem. Bemowo.,Warszawa,849 000 ,3 pokoje,61.43,13 821 ,https://www.otodom.pl/oferta/dwa-pokoje-z-ogrodkiem-bemowo-ID4kMlm,pełna własność,do zamieszkania,parter/3,ogródek,800,,miejskie
"Mieszkanie 64,5m2 miasteczko Wilanów bezpośrednio",Warszawa,1 099 000 ,3 pokoje,65,16 908 ,https://www.otodom.pl/oferta/mieszkanie-64-5m2-miasteczko-wilanow-bezposrednio-ID4kxqO,pełna własność,do zamieszkania,parter/3,"ogródek, taras",850,garaż/miejsce parkingowe,miejskie
Mieszkanie 2-pokojowe 29m bliska Wola Bezpośrednio,Warszawa,449 000 ,2 pokoje,29,15 483 ,https://www.otodom.pl/oferta/mieszkanie-2-pokojowe-29m-bliska-wola-bezposrednio-ID4dfsl,pełna własność,do zamieszkania,2/2,,,garaż/miejsce parkingowe,miejskie
Zainwestuj w nieruchomość i zarabiaj na wynajmie!,Warszawa,596 342 ,2 pokoje,37.01,16 113 ,https://www.otodom.pl/oferta/zainwestuj-w-nieruchomosc-i-zarabiaj-na-wynajmie-ID4kMWx,,,4/4,,,garaż/miejsce parkingowe,
Zainwestuj w nieruchomość i zarabiaj na wynajmie!,Warszawa,360 560 ,1 pokój,20.79,17 343 ,https://www.otodom.pl/oferta/zainwestuj-w-nieruchomosc-i-zarabiaj-na-wynajmie-ID4kMWA,,,4/4,,,garaż/miejsce parkingowe,
Tarchomin | 63 m2 | 3 pokoje | Ogródek 192 m2,Warszawa,"883 552,80 ",3 pokoje,63.06,14 011 ,https://www.otodom.pl/oferta/tarchomin-63-m2-3-pokoje-ogrodek-192-m2-ID4kMWr,pełna własność,do wykończenia,parter/3,,,garaż/miejsce parkingowe,miejskie
Tarchomin | 36 m2 | 1 pok. | Balkon,Warszawa,477 940 ,1 pokój,35.28,13 547 ,https://www.otodom.pl/oferta/tarchomin-36-m2-1-pok-balkon-ID4kMWt,pełna własność,do wykończenia,3/3,,,garaż/miejsce parkingowe,miejskie
Browary Warszawskie - Wyjątkowy Komfort Życia,Warszawa,8 892 080 ,5 pokoi,216.88,41 000 ,https://www.otodom.pl/oferta/browary-warszawskie-wyjatkowy-komfort-zycia-ID4ji53,,do zamieszkania,7/8,"balkon, taras",,,
3 Pokoje w Miasteczku Wilanów z Ogródkiem,Warszawa,1 460 000 ,3 pokoje,85,17 176 ,https://www.otodom.pl/oferta/3-pokoje-w-miasteczku-wilanow-z-ogrodkiem-ID4jaik,,,parter,"ogródek, taras",1000,,miejskie
Czteropokojowy apartament w Miasteczku Wilanów,Warszawa,1 400 000 ,4 pokoje,87.61,15 980 ,https://www.otodom.pl/oferta/czteropokojowy-apartament-w-miasteczku-wilanow-ID4jaPZ,pełna własność,do zamieszkania,3/3,"balkon, taras",,garaż/miejsce parkingowe,miejskie
Mieszkanie 3 pokojowe z widokiem na miasteczko,Warszawa,1 150 000 ,3 pokoje,65,17 692 ,https://www.otodom.pl/oferta/mieszkanie-3-pokojowe-z-widokiem-na-miasteczko-ID4jdSz,pełna własność,do zamieszkania,4/6,balkon,,garaż/miejsce parkingowe,miejskie
